,Num CEAC-L,PY CEAC-L I,PY CEAC-L C,PY CEAC-L T,,Num SEAC-L,PY SEAC-L I,PY SEAC-L C,PY SEAC-L T,,Num CEAC-R,PY CEAC-R I,PY CEAC-R C,PY CEAC-R T,,Num SEAC-R,PY SEAC-R I,PY SEAC-R C,PY SEAC-R T,,Num CEAC-D,PY CEAC-D I,PY CEAC-D C,PY CEAC-D T,,Num SEAC-D,PY SEAC-D I,PY SEAC-D C,PY SEAC-D T,,Num CEAC-U,PY CEAC-U I,PY CEAC-U C,PY CEAC-U T,,Num SEAC-U,PY SEAC-U I,PY SEAC-U C,PY SEAC-U T,,,Num Endosc,Num Init RFA,Num Touchups,Num Lifeyears
2010,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,1000,0,1000
2011,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,975.5129464
2012,0,0,0,0,,0.392785157,0.372112254,0,-0.001383178,,0,0,0,0,,0.031009354,0.031009354,0,0,,0,0,0,0,,0.020672903,0.020672903,0,0,,0,0,0,0,,0,0,0,0,,,4183.203266,0,0,962.706083
2013,0,0,0,0,,0.868261926,0.852609791,0.372112254,0.010336451,,0.010336451,0,0,0,,0.093028063,0.082691612,0.031009354,0.002302365,,0.010336451,0.010336451,0,0,,0.010336451,0.010336451,0.020672903,0,,0,0,0,0,,0,0,0,0,,,86.99157579,0,4.610057367,949.3410512
2014,0.041345806,0.031009354,0,0.003339728,,0.795906765,0.765407111,1.219701277,0.028713116,,0.051682257,0.042075283,0,0.010336451,,0.051682257,0.04658592,0.113700966,0,,0.093028063,0.032302706,0.010336451,0.01339523,,0,0,0.031009354,0,,0.020672903,0,0,0.00351702,,0,0,0,0,,,77.08925526,0,3.535066412,935.2214585
2015,0.103364515,0.066035901,0.031009354,0,,1.643495788,1.583267974,1.922579978,0.089333249,,0.217065481,0.13045338,0.041345806,0.010377566,,0.155046772,0.153135993,0.144710321,0.020672903,,0.361775802,0.098575233,0.041345806,0.053889976,,0.010336451,0,0.031009354,0.003575415,,0.07235516,0.031179444,0,0.010336451,,0,0,0,0,,,988.8159595,0,164.8870743,919.4273606
2016,0.258411287,0.219370299,0.07235516,0.062018709,,0.713215153,0.674233885,3.400692542,0.126088764,,0.48581322,0.310016806,0.144710321,0.127252972,,0.082691612,0.07235516,0.268747739,0.031009354,,0.599514187,0.118688171,0.113700966,0.211536267,,0,0,0.020672903,0.010336451,,0.144710321,0.07235516,0.031009354,0.052312182,,0,0,0,0,,,66.02925216,0,2.894206419,901.648664
2017,0.382448705,0.311985952,0.289420642,0.052754831,,0.795906765,0.76270447,3.493720606,0.256427359,,0.713215153,0.394987742,0.403121608,0.214396866,,0.051682257,0.051682257,0.289420642,0.041345806,,1.043981601,0.227989838,0.155046772,0.403079953,,0,0,0,0.010336451,,0.155046772,0.113053186,0.082691612,0.074429738,,0,0,0,0,,,61.8223164,0,3.007907385,883.2084345
2018,0.640859993,0.426985267,0.558168381,0.111832025,,2.191327717,2.085684303,3.369683188,0.242857416,,0.992299344,0.575735705,0.661532896,0.389708396,,0.330766448,0.315865746,0.237738384,0.045279217,,0.930280635,0.211384511,0.268747739,0.693944181,,0.020672903,0.020672903,0,0,,0.144710321,0.064911857,0.165383224,0.077719184,,0,0,0,0,,,928.7405034,0,149.175668,863.4348028
2019,0.516822575,0.436262817,0.89927128,0.220980363,,0.527159026,0.485611121,4.55837511,0.361226736,,0.82691612,0.503997223,1.002635795,0.510346654,,0.051682257,0.031009354,0.496149672,0.042839775,,0.971626441,0.265608084,0.289420642,0.665162216,,0,0,0.020672903,0,,0.175719675,0.103364515,0.196392578,0.083522813,,0,0,0,0,,,48.98444364,0,2.056953848,841.3768153
