,Num CEAC-L,PY CEAC-L I,PY CEAC-L C,PY CEAC-L T,,Num SEAC-L,PY SEAC-L I,PY SEAC-L C,PY SEAC-L T,,Num CEAC-R,PY CEAC-R I,PY CEAC-R C,PY CEAC-R T,,Num SEAC-R,PY SEAC-R I,PY SEAC-R C,PY SEAC-R T,,Num CEAC-D,PY CEAC-D I,PY CEAC-D C,PY CEAC-D T,,Num SEAC-D,PY SEAC-D I,PY SEAC-D C,PY SEAC-D T,,Num CEAC-U,PY CEAC-U I,PY CEAC-U C,PY CEAC-U T,,Num SEAC-U,PY SEAC-U I,PY SEAC-U C,PY SEAC-U T,,,Num Endosc,Num Init RFA,Num Touchups,Num Lifeyears
2010,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,47.26028813,0,1000
2011,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,975.8169529
2012,0.031003906,0.031003906,0,0,,0.341042971,0.330708336,0,0,,0.020669271,0.010334635,0,0,,0.020669271,0.020669271,0,0,,0.031003906,0.003580285,0,0.003895471,,0,0,0,0,,0.020669271,0.010334635,0,0,,0,0,0,0,,,369.2978649,0,0,962.5679502
2013,0.010334635,0.010334635,0.031003906,0,,7.544283913,7.333771107,0.330708336,0.054776079,,0.020669271,0.020669271,0.010334635,0.010334635,,0.682085943,0.656407007,0.020669271,0.00017612,,0.072342448,0.01190965,0,0.016615086,,0.124015626,0.124015626,0,0,,0,0,0.010334635,0.010334635,,0,0,0,0,,,1145.573676,35.39612658,4.526570348,948.9985738
2014,0.010334635,0,0.041338542,0,,0.837105475,0.818160752,7.533949278,0.249442325,,0.031003906,0.010334635,0.031003906,0.003405356,,0.072342448,0.072342448,0.651082036,0.041338542,,0.020669271,0.010334635,0.010334635,0.042460446,,0,0,0.124015626,0,,0.010334635,0,0,0.012558393,,0,0,0,0,,,76.91035737,0,4.113184928,934.5714227
2015,0.082677084,0.072342448,0.031003906,0.021196553,,0.795766933,0.765249478,7.843988343,0.516731775,,0.248031252,0.14697345,0.041338542,0.02262807,,0.093011719,0.093011719,0.682085943,0.041338542,,0.196358074,0.083702471,0.010334635,0.020357888,,0,0,0.093011719,0.031003906,,0.041338542,0.020669271,0,0.002462267,,0,0,0,0,,,211.4879808,0,3.451768256,918.9041153
2016,0.196358074,0.144684897,0.103346355,0.006595165,,6.707178438,6.427753288,7.823319072,0.865736358,,0.268700523,0.145523756,0.175688803,0.10443175,,0.73375912,0.68954798,0.599408859,0.188445751,,0.599408859,0.156990251,0.072342448,0.136401777,,0.082677084,0.079398783,0.051673177,0.041338542,,0.031003906,0,0.020669271,0.02020795,,0,0,0,0,,,1071.236642,30.40449763,6.004423224,901.8312974
2017,0.258365887,0.201343464,0.196358074,0.074265084,,0.888778653,0.864775957,13.05264463,1.133647803,,0.392716149,0.240812769,0.268700523,0.150593625,,0.082677084,0.077237432,1.136809905,0.155019532,,0.516731775,0.125555071,0.186023439,0.379166423,,0,0,0.11368099,0.020669271,,0.103346355,0.057560008,0.010334635,0.029479897,,0,0,0,0,,,97.80699035,0,5.901076869,882.4228519
2018,0.299704429,0.268700523,0.341042971,0.093011719,,1.529526054,1.463942059,8.030011781,0.601930165,,0.41338542,0.229941067,0.372046878,0.21057438,,0.103346355,0.093011719,0.82677084,0.082327444,,0.52706641,0.157547089,0.217027345,0.299234862,,0.020669271,0.010782537,0.051673177,0.020669271,,0.144684897,0.05656229,0.051673177,0.038636251,,0,0,0,0,,,215.7665199,0,5.032967487,862.2393088
2019,0.279035158,0.236548767,0.568404952,0.0874239,,6.603832083,6.324366006,8.143692772,0.819534709,,0.547735681,0.321683563,0.496062504,0.265503859,,0.754428391,0.70785719,0.73375912,0.13556991,,0.62007813,0.15030675,0.279035158,0.329723525,,0.041338542,0.040811433,0.031003906,0.041338542,,0.155019532,0.095862438,0.093011719,0.088836091,,0,0,0,0,,,997.8503958,28.31690126,6.800190157,839.3067527
2020,0.423720055,0.203852077,0.702755214,0.115707749,,0.630412765,0.573779869,12.74260557,1.349451155,,0.682085943,0.293382858,0.640747401,0.324733482,,0.072342448,0.059599009,1.188483082,0.186023439,,0.423720055,0.096231573,0.330708336,0.397836474,,0.010334635,0.010334635,0.051673177,0.020669271,,0.144684897,0.11368099,0.175688803,0.062090663,,0,0,0,0,,,107.2735165,0,6.097434943,816.4052004
2021,0.423720055,0.289369794,0.764763027,0.251909853,,1.942911474,1.760535154,7.657964904,1.051330069,,0.41338542,0.220629439,0.692420578,0.413896133,,0.155019532,0.144684897,0.713089849,0.195144763,,0.465058597,0.055750834,0.299704429,0.226509354,,0.051673177,0.044289438,0.020669271,0.031003906,,0.196358074,0.060590068,0.258365887,0.079790514,,0,0,0,0,,,221.4505694,0,5.622041711,791.2506976
2022,0.341042971,0.234954323,0.764763027,0.220363594,,6.33513156,5.907206916,7.585622455,1.559851486,,0.485727868,0.289782939,0.651082036,0.306367283,,0.651082036,0.613402533,0.702755214,0.124015626,,0.723424485,0.10361756,0.175688803,0.426763921,,0.062007813,0.060899351,0.041338542,0.031003906,,0.072342448,0.041338542,0.227361981,0.084819924,,0,0,0,0,,,910.4193795,25.24751452,7.048221409,765.2590893
2023,0.279035158,0.201355725,0.73375912,0.15143405,,0.537401046,0.495082065,11.21307951,1.612857347,,0.351377607,0.121736842,0.62007813,0.385071596,,0.062007813,0.057527587,0.961121101,0.330708336,,0.609743494,0.150754235,0.144684897,0.452305241,,0.020669271,0.020669271,0.072342448,0.031003906,,0.093011719,0.010693006,0.196358074,0.079124339,,0,0,0,0,,,113.5879788,0,6.417808644,737.5312623
2024,0.382381513,0.195025938,0.702755214,0.151877009,,2.066927099,1.909232182,7.172237035,0.98754182,,0.475393233,0.213043574,0.465058597,0.294615246,,0.258365887,0.241385656,0.640747401,0.144437744,,0.41338542,0.123366788,0.20669271,0.259132831,,0.041338542,0.032097886,0.072342448,0.020669271,,0.093011719,0.049774262,0.11368099,0.085094085,,0,0,0,0,,,216.6552986,0,5.725388066,707.5298154
2025,0.3203737,0.21756618,0.713089849,0.181542803,,5.684049524,5.284796515,7.306587297,1.619959672,,0.403050784,0.177933074,0.392716149,0.364801521,,0.506397139,0.436857481,0.682085943,0.19616022,,0.568404952,0.124583976,0.196358074,0.271982249,,0.072342448,0.072342448,0.062007813,0.051673177,,0.093011719,0.021723711,0.093011719,0.061848521,,0,0,0,0,,,823.8668072,23.99702362,7.1619024,676.5569128
2026,0.289369794,0.181707395,0.692420578,0.134548773,,0.537401046,0.509257946,10.12794279,1.757842872,,0.434054691,0.201684138,0.423720055,0.247706516,,0.062007813,0.062007813,0.857774746,0.237696616,,0.475393233,0.081638339,0.227361981,0.38606022,,0,0,0.11368099,0.020669271,,0.134350261,0.072342448,0.082677084,0.064028579,,0,0,0,0,,,115.4172092,0,6.262789111,644.8605858
2027,0.403050784,0.233224853,0.62007813,0.164002137,,1.663876315,1.40877744,6.469481821,1.108680873,,0.341042971,0.1614826,0.434054691,0.222964322,,0.175688803,0.135283259,0.640747401,0.061710085,,0.392716149,0.098650972,0.144684897,0.361100777,,0.010334635,0.010334635,0.051673177,0.041338542,,0.11368099,0.045861397,0.134350261,0.025665501,,0,0,0,0,,,213.1415225,0,5.746057337,611.0766623
2028,0.248031252,0.157491481,0.630412765,0.194395096,,4.950290403,4.389129496,6.169777392,1.640302687,,0.41338542,0.207417006,0.454723962,0.251783102,,0.454723962,0.392527954,0.506397139,0.281897091,,0.496062504,0.122584474,0.165354168,0.238860274,,0.082677084,0.077568685,0.041338542,0.020669271,,0.144684897,0.055908171,0.165354168,0.072220531,,0,0,0,0,,,721.1405304,22.86021372,6.397139373,576.7760071
2029,0.289369794,0.168891234,0.599408859,0.178806157,,0.372046878,0.31345337,8.381389388,1.502268583,,0.361712242,0.220201363,0.444389326,0.297955953,,0.010334635,0.010334635,0.630412765,0.196358074,,0.403050784,0.087402026,0.196358074,0.268682241,,0,0,0.093011719,0.020669271,,0.11368099,0.010334635,0.144684897,0.104598103,,0,0,0,0,,,109.8158368,0,5.384345094,541.3488766
2030,0.010334635,0.000726434,0.599408859,0.082677084,,0,0,5.063971394,0.909447924,,0.041338542,0.020669271,0.52706641,0.108275141,,0,0,0.361712242,0.093011719,,0.031003906,0.020669271,0.217027345,0.186023439,,0,0,0.020669271,0.051673177,,0.010334635,0.010334635,0.11368099,0.062007813,,0,0,0,0,,,91.44085488,0,0,504.4852318
2031,0,0,0.403050784,0.072342448,,0,0,3.710134144,1.064467456,,0,0,0.299704429,0.165354168,,0,0,0.196358074,0.155019532,,0,0,0.155019532,0.072342448,,0,0,0.020669271,0,,0,0,0.072342448,0.010334635,,0,0,0,0,,,0,0,0,468.0969802
2032,0,0,0.227361981,0.020669271,,0,0,2.252950538,0.82677084,,0,0,0.165354168,0.082677084,,0,0,0.093011719,0.062007813,,0,0,0.051673177,0.051673177,,0,0,0.010334635,0.010334635,,0,0,0.051673177,0.010334635,,0,0,0,0,,,0,0,0,430.3548914
2033,0,0,0.093011719,0.010334635,,0,0,0.196358074,0.020669271,,0,0,0.051673177,0.031003906,,0,0,0,0,,0,0,0.031003906,0,,0,0,0,0,,0,0,0,0.010334635,,0,0,0,0,,,0,0,0,392.4887869
2034,0,0,0,0,,0,0,0,0,,0,0,0.010334635,0.010334635,,0,0,0,0,,0,0,0,0.010334635,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,356.1625431
2035,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,318.0484074
2036,0,0,0,0,,0,0,0,0,,0.020669271,0.010451908,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,281.4327939
2037,0.041338542,0.021327348,0,0,,0,0,0,0,,0.031003906,0.010334635,0.010334635,0.013487835,,0,0,0,0,,0.051673177,0.000263509,0,0.011332234,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,245.0342076
2038,0.072342448,0.012885994,0.020669271,0.025980066,,0,0,0,0,,0.103346355,0.045466838,0.020669271,0.016273977,,0,0,0,0,,0.11368099,0.031003906,0,0.023055878,,0,0,0,0,,0.051673177,0.011270765,0,0.008539976,,0,0,0,0,,,0,0,0,210.2684938
