"","Num CEAC-L","PY CEAC-L I","PY CEAC-L C","PY CEAC-L T","Num SEAC-L","PY SEAC-L I","PY SEAC-L C","PY SEAC-L T","Num CEAC-R","PY CEAC-R I","PY CEAC-R C","PY CEAC-R T","Num SEAC-R","PY SEAC-R I","PY SEAC-R C","PY SEAC-R T","Num CEAC-D","PY CEAC-D I","PY CEAC-D C","PY CEAC-D T","Num SEAC-D","PY SEAC-D I","PY SEAC-D C","PY SEAC-D T","Num CEAC-U","PY CEAC-U I","PY CEAC-U C","PY CEAC-U T","Num SEAC-U","PY SEAC-U I","PY SEAC-U C","PY SEAC-U T","Num Endosc","Num Init RFA","Num Touchups","Num Lifeyears"
"2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000
"2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.36331536696
"2012",0,0,0,0,0.0207703731397535,0.0150650797183905,0,0,0,0,0,0,0.0207703731397535,0.0207703731397535,0,0,0,0,0,0,0.0207703731397535,0.0207703731397535,0,0,0,0,0,0,0.0103851865698767,0.0103851865698767,0,0,18.952965490025,0,0,963.527224766593
"2013",0,0,0,0,0.0934666791288905,0.087416201097458,0.0103851865698767,0.0103851865698767,0,0,0,0,0.0311555597096302,0.0311555597096302,0.0207703731397535,0,0.0103851865698767,0,0,0,0.0207703731397535,0.0207703731397535,0.0207703731397535,0,0,0,0,0,0.0726963059891371,0.0726963059891371,0.0103851865698767,0,178.864068292987,0,2.9909337321245,949.621459949528
"2014",0,0,0,0,0.301170410526425,0.301170410526425,0.0830814925590138,0.0207703731397535,0,0,0,0,0.114237052268644,0.103851865698767,0.0519259328493836,0,0.0103851865698767,0,0,0.0103851865698767,0.103851865698767,0.0997038262923143,0.0415407462795069,0,0,0,0,0,0.176548171687904,0.15613351994208,0.0830814925590138,0.0036509502680937,139.649603805132,0,2.41974847078128,935.539146960775
"2015",0.0207703731397535,0.0207703731397535,0,0,0.591955634482974,0.576460567108639,0.353096343375809,0.0410482514565827,0,0,0,0,0.0830814925590138,0.0830814925590138,0.155777798548151,0.0103851865698767,0.0207703731397535,0.00122584077994832,0,0.0103851865698767,0.186933358257781,0.186933358257781,0.135007425408397,0.0103851865698767,0,0,0,0,0.363481529945685,0.362657693012457,0.238859291107165,0.0103851865698767,1034.17764900146,0,157.823680302417,919.96136710596
"2016",0.0103851865698767,0.000610893863851042,0.0207703731397535,0,0.519259328493836,0.499395480440344,0.872355671869645,0.0623111194192604,0.0623111194192604,0.0311555597096302,0,0,0.155777798548151,0.155777798548151,0.238859291107165,0,0.0934666791288905,0.0207703731397535,0,0.033013367336437,0.176548171687904,0.166162985118028,0.311555597096302,0.0207054933882533,0.0311555597096302,0,0,0.00191823848894437,0.301170410526425,0.29513317706798,0.57118526134322,0.0311555597096302,93.4770643154604,0,1.35007425408397,902.690801840255
"2017",0.0830814925590138,0.0726963059891371,0.0207703731397535,0.0103851865698767,0.405022276225192,0.402529761329888,1.2046816421057,0.186933358257781,0.124622238838521,0.0749785640514402,0.0311555597096302,0.0311555597096302,0.114237052268644,0.107147314562345,0.373866716515562,0.0207703731397535,0.176548171687904,0.031280207105708,0.0207703731397535,0.0453345018105658,0.166162985118028,0.146577355131561,0.436177835934823,0.0415407462795069,0.0103851865698767,0,0,0.0207703731397535,0.186933358257781,0.177283071046892,0.768503806170878,0.103851865698767,78.5120104682681,0,0.996977910708166,884.828280940067
"2018",0.114237052268644,0.078345400212214,0.0934666791288905,0.0145775037420736,0.893126045009399,0.860524509254654,1.40200018693336,0.211253099425214,0.197318544827658,0.112794786119851,0.103851865698767,0.0550824616734818,0.249244477677041,0.222633958320196,0.373866716515562,0.119838309451819,0.166162985118028,0.0656762714014822,0.0415407462795069,0.0966203036568458,0.197318544827658,0.171079572040973,0.467333395644453,0.145100943620681,0.0415407462795069,0.0207703731397535,0,0.0132310851890995,0.54002970163359,0.471702842640882,0.830814925590138,0.138385574747708,945.415459388728,0,121.942860703493,865.324900561839
"2019",0.124622238838521,0.0979586419555364,0.145392611978274,0.0415407462795069,0.207703731397535,0.207703731397535,2.04588175426572,0.238859291107165,0.166162985118028,0.114819377537047,0.186933358257781,0.105953083497487,0.0623111194192604,0.0623111194192604,0.50887414192396,0.103851865698767,0.207703731397535,0.0346739843694673,0.0934666791288905,0.090109111332242,0.0830814925590138,0.0726963059891371,0.498488955354083,0.158409748429193,0.0519259328493836,0.0103851865698767,0.0207703731397535,0.0232067020938627,0.0934666791288905,0.0934423714641942,1.12160014954669,0.207703731397535,58.884007851201,0,0.519259328493836,844.429905183247
"2020",0.176548171687904,0.120696993209365,0.228474104537288,0.0488481759540163,0.249244477677041,0.247983370932709,2.07703731397535,0.176548171687904,0.186933358257781,0.0934666791288905,0.249244477677041,0.109885161074676,0.0623111194192604,0.0537257964365728,0.498488955354083,0.0726963059891371,0.166162985118028,0.0311555597096302,0.103851865698767,0.164966693626305,0.0311555597096302,0.0291205569408775,0.353096343375809,0.218088917967411,0.0726963059891371,0.0415407462795069,0.0311555597096302,0.0168601212753828,0.0726963059891371,0.0642999282909263,0.913896418149152,0.301170410526425,52.4555773644474,0,0.405022276225192,821.779813274345
"2021",0.0415407462795069,0.0207703731397535,0.321940783666179,0.0801082029964554,0.841200112160015,0.781842049359612,2.0978076871151,0.246696302777622,0.0934666791288905,0.0623111194192604,0.280400037386672,0.133533208792306,0.155777798548151,0.12382892155559,0.436177835934823,0.129272985671081,0.124622238838521,0.0112585899276784,0.0934666791288905,0.0953178070501311,0.186933358257781,0.14463259779033,0.197318544827658,0.193893335630803,0.0519259328493836,0,0.0726963059891371,0.0165781763825586,0.311555597096302,0.274111847801742,0.810044552450385,0.198069963195727,872.843775638429,0,92.7397160689992,798.361217559273
"2022",0.0623111194192604,0.0415407462795069,0.218088917967411,0.126394137311023,0.114237052268644,0.101518508900436,2.64822257531857,0.264969530618998,0.114237052268644,0.0427647036589228,0.311555597096302,0.0447759380222295,0.0311555597096302,0.0207703731397535,0.488103768784206,0.0934666791288905,0.0830814925590138,0.0207703731397535,0.0623111194192604,0.105573469992679,0.0103851865698767,0.0103851865698767,0.207703731397535,0.166162985118028,0.0207703731397535,0.0207703731397535,0.0726963059891371,0.0415407462795069,0.0415407462795069,0.0207703731397535,0.820429739020262,0.278898243809921,44.9782430341361,0,0.155777798548151,774.1845032246
"2023",0.0207703731397535,0.0103851865698767,0.238859291107165,0.0311555597096302,0.0934666791288905,0.0908354021116643,2.45090403049091,0.301170410526425,0.0726963059891371,0.0137229038877704,0.311555597096302,0.0921109761100618,0.0103851865698767,0.0103851865698767,0.321940783666179,0.197318544827658,0.0934666791288905,0.0103851865698767,0.0623111194192604,0.0825278524801658,0.0623111194192604,0.0623111194192604,0.145392611978274,0.0726963059891371,0.0415407462795069,0.0207703731397535,0.0726963059891371,0.0259495378476865,0.0830814925590138,0.0623111194192604,0.63349638076248,0.222558071727652,41.4992055332274,0,0.0934666791288905,747.29725519519
"2024",0.0207703731397535,0.0103851865698767,0.238859291107165,0.0233778733965642,0.903511231579275,0.833530305702841,2.274355858803,0.276498018198214,0.0726963059891371,0.0418411899914951,0.280400037386672,0.0868473295416735,0.135007425408397,0.135007425408397,0.249244477677041,0.0830814925590138,0.0311555597096302,0.0119088390729285,0.0623111194192604,0.0415407462795069,0.259629664246918,0.208621637629731,0.155777798548151,0.0691322826280355,0.0311555597096302,0.0311555597096302,0.0830814925590138,0.0207703731397535,0.373866716515562,0.305241617239312,0.57118526134322,0.150330426416912,800.105928903013,0,68.6045424806057,720.898110934563
"2025",0.0103851865698767,0,0.238859291107165,0.0128240667454601,0.0623111194192604,0.0609155943477171,2.93900779927511,0.218088917967411,0.0726963059891371,0.0312199391802948,0.238859291107165,0.103851865698767,0.0311555597096302,0.0311555597096302,0.342711156805932,0.0415407462795069,0.0519259328493836,0.0207703731397535,0.0519259328493836,0.0430645088309437,0.0103851865698767,0.0103851865698767,0.301170410526425,0.0830814925590138,0.0207703731397535,0.0115255461265653,0.0934666791288905,0.0207703731397535,0.0519259328493836,0.0497565270564181,0.758118619601001,0.145392611978274,37.0128049350407,0,0.0519259328493836,691.726121859779
"2026",0.0311555597096302,0.0207703731397535,0.228474104537288,0.0105940622271387,0.0311555597096302,0.0288737778486718,2.74168925444746,0.259629664246918,0.124622238838521,0.0439574536502385,0.228474104537288,0.100606433517775,0,0,0.301170410526425,0.0726963059891371,0.0415407462795069,0.0103851865698767,0.0726963059891371,0.0239381134969115,0.0207703731397535,0.0207703731397535,0.166162985118028,0.145392611978274,0.0207703731397535,0,0.0830814925590138,0.0353760100452529,0.0519259328493836,0.050810525218305,0.664651940472111,0.145392611978274,34.3126564268727,0,0.0207703731397535,661.463688195158
"2027",0.0519259328493836,0.0276940392330459,0.238859291107165,0.0136724883787034,1.24622238838521,1.10126824034086,2.50282996334029,0.304207478840937,0.0311555597096302,0.0311555597096302,0.238859291107165,0.0726963059891371,0.290785223956548,0.233785890832051,0.207703731397535,0.115198251990798,0.0519259328493836,0.0103851865698767,0.0726963059891371,0.0335339780984276,0.301170410526425,0.254366034182079,0.155777798548151,0.0466968016118333,0.0207703731397535,0.0207703731397535,0.0623111194192604,0.0311555597096302,0.529644515063713,0.469673409360385,0.591955634482974,0.140569922028184,720.430777538919,0,48.8934583709796,629.934261769013
"2028",0.0207703731397535,0.0207703731397535,0.249244477677041,0.0311555597096302,0.0311555597096302,0.0207703731397535,3.24017820980154,0.447555028763212,0.0415407462795069,0.0220212596850912,0.228474104537288,0.0463988334640313,0.0207703731397535,0.0207703731397535,0.384251903085439,0.0726963059891371,0.0415407462795069,0.0193457731880892,0.0623111194192604,0.0637799898236862,0.0415407462795069,0.0415407462795069,0.321940783666179,0.114237052268644,0,0,0.0726963059891371,0.0103851865698767,0.0415407462795069,0.0208578916663918,0.861970485299768,0.247928651910639,30.6259151945665,0,0.0103851865698767,596.556272133429
"2029",0.0519259328493836,0.0311555597096302,0.270014850816795,0,0.0311555597096302,0.0207703731397535,2.88708186642573,0.376510763581712,0.0726963059891371,0.032253278198634,0.218088917967411,0.0461824690326493,0,0,0.353096343375809,0.0519259328493836,0.0623111194192604,0,0.0519259328493836,0.0382701930729258,0.0103851865698767,0.0103851865698767,0.238859291107165,0.124622238838521,0.0415407462795069,0.0214926430672402,0.0726963059891371,0,0.0207703731397535,0.0207703731397535,0.664651940472111,0.228474104537288,28.5800334403008,0,0.0103851865698767,562.015141602019
"2030",0,0,0.249244477677041,0.0726963059891371,0,0,2.66899294845832,0.238859291107165,0,0,0.207703731397535,0.0726963059891371,0,0,0.259629664246918,0.0934666791288905,0,0,0.0415407462795069,0.0311555597096302,0,0,0.176548171687904,0.0726963059891371,0,0,0.0830814925590138,0.0311555597096302,0,0,0.446563022504699,0.238859291107165,0,0,0,525.428129316343
"2031",0,0,0.176548171687904,0.0726963059891371,0,0,2.45090403049091,0.218088917967411,0,0,0.186933358257781,0.0207703731397535,0,0,0.186933358257781,0.0726963059891371,0,0,0.0415407462795069,0,0,0,0.114237052268644,0.0623111194192604,0,0,0.0519259328493836,0.0311555597096302,0,0,0.321940783666179,0.124622238838521,0,0,0,487.854524306529
"2032",0,0,0.166162985118028,0.0103851865698767,0,0,2.25358548566325,0.197318544827658,0,0,0.166162985118028,0.0207703731397535,0,0,0.114237052268644,0.0726963059891371,0,0,0.0415407462795069,0,0,0,0.0726963059891371,0.0415407462795069,0,0,0.0519259328493836,0,0,0,0.207703731397535,0.114237052268644,0,0,0,450.852104558058
"2033",0,0,0.145392611978274,0.0207703731397535,0,0,2.07703731397535,0.176548171687904,0,0,0.145392611978274,0.0207703731397535,0,0,0.103851865698767,0.0103851865698767,0,0,0.0311555597096302,0.0103851865698767,0,0,0.0311555597096302,0.0415407462795069,0,0,0.0415407462795069,0.0103851865698767,0,0,0.176548171687904,0.0311555597096302,0,0,0,411.575328950785
"2034",0,0,0.124622238838521,0.0207703731397535,0,0,1.89010395571756,0.186933358257781,0,0,0.145392611978274,0,0,0,0.0934666791288905,0.0103851865698767,0,0,0.0311555597096302,0,0,0,0.0207703731397535,0.0103851865698767,0,0,0.0415407462795069,0,0,0,0.135007425408397,0.0415407462795069,0,0,0,374.06403506039
"2035",0,0,0.114237052268644,0.0103851865698767,0,0,1.68240022432003,0.207703731397535,0,0,0.145392611978274,0,0,0,0.0726963059891371,0.0207703731397535,0,0,0.0207703731397535,0.0103851865698767,0,0,0.0103851865698767,0.0103851865698767,0,0,0.0207703731397535,0.0207703731397535,0,0,0.114237052268644,0.0207703731397535,0,0,0,336.511200423716
"2036",0,0,0.114237052268644,0,0,0,1.48508167949237,0.197318544827658,0,0,0.103851865698767,0.0415407462795069,0,0,0.0623111194192604,0.0103851865698767,0,0,0.0103851865698767,0.0103851865698767,0,0,0.0103851865698767,0,0,0,0.0207703731397535,0,0,0,0.0934666791288905,0.0207703731397535,0,0,0,297.815995264355
"2037",0.0103851865698767,0.0103851865698767,0.0830814925590138,0.0311555597096302,0,0,1.26699276152496,0.218088917967411,0,0,0.0726963059891371,0.0311555597096302,0,0,0.0623111194192604,0,0.0103851865698767,0,0.0103851865698767,0.00115768301880071,0,0,0.0103851865698767,0,0,0,0.0207703731397535,0,0,0,0.0934666791288905,0,0,0,0,258.238049246555
"2038",0.0311555597096302,0.0210147664575254,0.0726963059891371,0.0207703731397535,0,0,0.976207537568412,0.290785223956548,0.0311555597096302,0.0207703731397535,0.0519259328493836,0.0220612588366642,0,0,0.0623111194192604,0,0.0311555597096302,0,0.0103851865698767,0.00349281435774941,0,0,0.0103851865698767,0,0.0103851865698767,0,0.0103851865698767,0.0150283116079046,0,0,0.0830814925590138,0.0103851865698767,0,0,0,222.191066662513
"2039",0.103851865698767,0.0623111194192604,0.0726963059891371,0.0398710578917027,0,0,0.747733433031124,0.228474104537288,0.0519259328493836,0.0325451194418014,0.0623111194192604,0.0103851865698767,0,0,0.0519259328493836,0.0103851865698767,0.186933358257781,0.00981633413943583,0.0103851865698767,0.0302975065314313,0,0,0.0103851865698767,0,0.0623111194192604,0.0207703731397535,0.0103851865698767,0.00987287766458956,0,0,0.0830814925590138,0,0,0,0,188.117269526747
"2040",0.0726963059891371,0.0214082352414486,0.124622238838521,0.0313911195788074,0,0,0.664651940472111,0.0830814925590138,0.166162985118028,0.0609685399010578,0.0623111194192604,0.0777114929419499,0,0,0.0519259328493836,0,0.145392611978274,0.0117043564906273,0.0103851865698767,0.121174320272291,0,0,0.0103851865698767,0,0.0311555597096302,0.0110080102856852,0.0311555597096302,0.0207703731397535,0,0,0.0830814925590138,0,0,0,0,157.273265414213
"2041",0.0726963059891371,0.0263190756487046,0.114237052268644,0.0685396964648814,0,0,0.498488955354083,0.166162985118028,0.0830814925590138,0.0279718594675291,0.103851865698767,0.0907010107708526,0,0,0.0207703731397535,0.0311555597096302,0.135007425408397,0.00565218418266137,0.0207703731397535,0.0799146315518602,0,0,0.0103851865698767,0,0.0415407462795069,0.0311555597096302,0.0311555597096302,0.0311555597096302,0,0,0.0726963059891371,0.0103851865698767,0,0,0,127.820876302043
"2042",0.0207703731397535,0,0.0934666791288905,0.0752871294142881,0,0,0.342711156805932,0.155777798548151,0.103851865698767,0.0352014575468821,0.0726963059891371,0.0968825284850912,0,0,0.0207703731397535,0,0.103851865698767,0.0311555597096302,0.0103851865698767,0.114011747101192,0,0,0.0103851865698767,0,0.0207703731397535,0.0103851865698767,0.0623111194192604,0.0103851865698767,0,0,0.0519259328493836,0.0207703731397535,0,0,0,101.722902451943
"2043",0.0726963059891371,0.0327856820627076,0.0934666791288905,0.0143943027782399,0,0,0.270014850816795,0.0726963059891371,0.103851865698767,0.0441723940506747,0.0519259328493836,0.119077068444771,0,0,0.0103851865698767,0.0103851865698767,0.145392611978274,0.0207703731397535,0.0415407462795069,0.0612799049591327,0,0,0.0103851865698767,0,0.0207703731397535,0.0103851865698767,0.0207703731397535,0.0651617970808368,0,0,0.0207703731397535,0.0311555597096302,0,0,0,78.7300993862355
"2044",0.0207703731397535,0.0103851865698767,0.103851865698767,0.0415407462795069,0,0,0.197318544827658,0.0726963059891371,0.0207703731397535,0.0103851865698767,0.0934666791288905,0.0311555597096302,0,0,0,0.0103851865698767,0.0830814925590138,0.0347014336416857,0.0311555597096302,0.0561221431089406,0,0,0.0103851865698767,0,0,0,0.0207703731397535,0.0103851865698767,0,0,0.0103851865698767,0.0103851865698767,0,0,0,59.9952228141779
"2045",0.0415407462795069,0.0123180050569576,0.0830814925590138,0.0475034346744293,0,0,0.176548171687904,0.0207703731397535,0.0103851865698767,0,0.0519259328493836,0.0671361826047251,0,0,0,0,0.0415407462795069,0,0.0415407462795069,0.0531087787736174,0,0,0,0.0103851865698767,0.0103851865698767,0.0103851865698767,0.0207703731397535,0,0,0,0.0103851865698767,0,0,0,0,43.9916503099978
"2046",0.0623111194192604,0.014442876430062,0.0415407462795069,0.0862430934846545,0,0,0.0934666791288905,0.0830814925590138,0.0726963059891371,0.0207703731397535,0.0207703731397535,0.0465291413884337,0,0,0,0,0.0415407462795069,0.0103851865698767,0,0.0776853683426589,0,0,0,0,0.0207703731397535,0,0.0207703731397535,0.0126383729217765,0,0,0,0.0103851865698767,0,0,0,31.8305968366722
"2047",0.0103851865698767,0,0.0311555597096302,0.0322583948667353,0,0,0.0830814925590138,0.0103851865698767,0.0311555597096302,0.0207703731397535,0.0415407462795069,0.0103851865698767,0,0,0,0,0.0207703731397535,0.00140568443599921,0.0103851865698767,0.0207703731397535,0,0,0,0,0,0,0,0.0311555597096302,0,0,0,0,0,0,0,21.9958251549989
"2048",0.0311555597096302,0,0.0311555597096302,0,0,0,0.0519259328493836,0.0311555597096302,0.0207703731397535,0.00274555823367346,0.0519259328493836,0.0207703731397535,0,0,0,0,0.0207703731397535,0,0,0.0311555597096302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6846538098057
"2049",0.0103851865698767,0,0.0207703731397535,0.0415407462795069,0,0,0.0207703731397535,0.0311555597096302,0.0207703731397535,0,0.0311555597096302,0.0434871034548346,0,0,0,0,0.0207703731397535,0,0,0.0207703731397535,0,0,0,0,0.0103851865698767,0,0,0,0,0,0,0,0,0,0,9.48167533829745
"2050",0,0,0,0.0311555597096302,0,0,0,0.0207703731397535,0,0,0,0.0415407462795069,0,0,0,0,0,0,0,0.0207703731397535,0,0,0,0,0,0,0,0.0103851865698767,0,0,0,0,0,0,0,6.23111194192604
